PedidoID,Data,Tipo,Quantidade
PED-2024-0750,2026-04-01,Previsto,100
PED-2024-0750,2026-04-01,Realizado,80
PED-2024-0750,2026-04-02,Previsto,200
PED-2024-0750,2026-04-02,Realizado,150
PED-2024-0750,2026-04-03,Previsto,300
PED-2024-0750,2026-04-03,Realizado,260
PED-2024-0750,2026-04-04,Previsto,450
PED-2024-0750,2026-04-04,Realizado,400
PED-2024-0750,2026-04-05,Previsto,600
PED-2024-0750,2026-04-05,Realizado,550
PED-2024-0751,2026-04-01,Previsto,80
PED-2024-0751,2026-04-01,Realizado,60
PED-2024-0751,2026-04-02,Previsto,160
PED-2024-0751,2026-04-02,Realizado,120
PED-2024-0751,2026-04-03,Previsto,250
PED-2024-0751,2026-04-03,Realizado,200
PED-2024-0752,2026-04-01,Previsto,150
PED-2024-0752,2026-04-01,Realizado,140
PED-2024-0752,2026-04-02,Previsto,300
PED-2024-0752,2026-04-02,Realizado,280
PED-2024-0752,2026-04-03,Previsto,500
PED-2024-0752,2026-04-03,Realizado,480
